Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3/25/2009,2.315181356,2.388679107,2.19574751,2.28302598,124385200,0,0
3/26/2009,2.319775711,2.430022369,2.294510688,2.425428867,133366400,0,0
3/27/2009,2.400163715,2.459880761,2.365711691,2.402460575,73189200,0,0
3/30/2009,2.310587912,2.34044621,2.216418642,2.248574018,78005200,0,0
3/31/2009,2.283026215,2.319775314,2.248574195,2.264651775,80527200,0,0
4/1/2009,2.237090188,2.342743329,2.152108347,2.322072029,88792000,0,0
4/2/2009,2.409350938,2.473661703,2.374898914,2.43002224,100286000,0,0
4/3/2009,2.432318784,2.606876179,2.390976186,2.5999856,100320800,0,0
4/6/2009,2.556346318,2.629844074,2.52189408,2.606876135,88728800,0,0
4/7/2009,2.556346828,2.583908493,2.5012235,2.517301083,60780400,0,0
4/8/2009,2.544862811,2.627547805,2.524191507,2.620657444,73165200,0,0
4/9/2009,2.68726481,2.774543524,2.666593507,2.765356302,90441200,0,0
4/13/2009,2.730903836,2.733200476,2.616063476,2.675780296,76762800,0,0
4/14/2009,2.639031375,2.756168592,2.627547295,2.691858053,71196000,0,0
4/15/2009,2.597689391,2.627547696,2.505816959,2.616063833,104536800,0,0
4/16/2009,2.664296629,2.714826233,2.563236982,2.68267107,103877200,0,0
4/17/2009,2.682671072,2.726310315,2.618360308,2.701045513,69576400,0,0
4/20/2009,2.597689013,2.620656953,2.524191034,2.537971973,59066000,0,0
4/21/2009,2.503519561,2.636734351,2.466770684,2.531081438,93218400,0,0
4/22/2009,2.50811336,2.71252927,2.466770762,2.606876135,91640400,0,0
4/23/2009,2.632141527,2.65510969,2.485145761,2.565534115,75395200,0,0
4/24/2009,2.590797634,2.643624297,2.528783974,2.625249863,75950800,0,0
4/27/2009,2.590798254,2.664296228,2.51500364,2.531081438,78702400,0,0
4/28/2009,2.498926234,2.590798433,2.475958075,2.537971973,63439200,0,0
4/29/2009,2.54945598,2.560939841,2.469067644,2.498926163,85966800,0,0
4/30/2009,2.547159148,2.710232463,2.526487848,2.636734486,111027600,0,0
